# k_step gamma S_color
18 2.550000e-02 2.300000e-03
17 2.510000e-02 1.300000e-02
16 2.820000e-02 3.200000e-03
15 2.990000e-02 9.300000e-03
1000 3.000000e-04 1.979000e-01
100 3.000000e-03 1.669000e-01
65 7.100000e-03 1.343000e-01
50 7.900000e-03 4.600000e-03
40 1.020000e-02 1.301000e-01
30 1.420000e-02 7.630000e-02
26 1.620000e-02 3.890000e-02
23 2.000000e-02 7.300000e-02
20 2.220000e-02 4.600000e-03
18 2.390000e-02 2.400000e-03
17 2.620000e-02 1.570000e-02
16 3.000000e-02 4.100000e-03
15 3.100000e-02 9.200000e-03
1000 6.000000e-04 1.038000e-01
100 2.700000e-03 1.722000e-01
65 5.200000e-03 1.526000e-01
50 8.200000e-03 9.800000e-03
40 1.150000e-02 1.070000e-01
30 1.290000e-02 4.220000e-02
26 1.580000e-02 6.610000e-02
23 1.690000e-02 3.240000e-02
20 2.270000e-02 4.900000e-03
18 2.470000e-02 5.600000e-03
17 2.730000e-02 1.670000e-02
16 2.930000e-02 1.220000e-02
15 2.720000e-02 1.070000e-02
1000 5.000000e-04 1.402000e-01
100 4.400000e-03 3.230000e-02
65 7.200000e-03 1.135000e-01
50 9.100000e-03 1.400000e-03
40 1.040000e-02 1.052000e-01
30 1.450000e-02 3.500000e-03
26 1.820000e-02 2.750000e-02
23 2.200000e-02 9.000000e-04
20 2.110000e-02 9.000000e-03
18 2.900000e-02 7.000000e-03
17 2.650000e-02 8.100000e-03
16 2.740000e-02 1.520000e-02
15 2.910000e-02 5.700000e-03
1000 5.000000e-04 9.050000e-02
100 4.200000e-03 1.634000e-01
65 4.800000e-03 9.840000e-02
50 8.800000e-03 7.300000e-03
40 1.040000e-02 9.260000e-02
30 1.290000e-02 9.600000e-02
26 1.560000e-02 4.400000e-02
23 2.060000e-02 3.900000e-03
20 2.350000e-02 8.100000e-03
18 2.320000e-02 2.700000e-03
17 2.590000e-02 2.500000e-03
16 3.000000e-02 5.400000e-03
15 2.900000e-02 4.400000e-03
1000 5.000000e-04 2.400000e-01
100 2.700000e-03 7.960000e-02
65 6.500000e-03 1.081000e-01
50 8.900000e-03 9.050000e-02
40 1.090000e-02 3.900000e-03
30 1.580000e-02 2.500000e-03
26 1.700000e-02 5.300000e-02
23 2.060000e-02 4.340000e-02
20 2.300000e-02 3.900000e-03
18 2.510000e-02 2.600000e-03
17 2.520000e-02 8.700000e-03
16 2.880000e-02 2.200000e-03
15 3.140000e-02 2.200000e-03
1000 2.000000e-04 2.109000e-01
100 3.100000e-03 1.078000e-01
65 5.500000e-03 1.092000e-01
50 7.500000e-03 4.380000e-02
40 8.900000e-03 1.007000e-01
30 1.360000e-02 8.800000e-02
26 1.690000e-02 4.600000e-02
23 1.880000e-02 3.190000e-02
20 2.190000e-02 8.500000e-03
18 2.420000e-02 4.340000e-02
17 2.640000e-02 1.130000e-02
16 2.780000e-02 9.000000e-04
15 2.930000e-02 1.110000e-02
1000 2.000000e-04 1.608000e-01
100 4.400000e-03 1.524000e-01
65 7.300000e-03 1.706000e-01
50 8.200000e-03 1.016000e-01
40 1.090000e-02 9.320000e-02
30 1.490000e-02 7.430000e-02
26 1.660000e-02 1.980000e-02
23 2.030000e-02 1.170000e-02
20 2.320000e-02 6.660000e-02
18 2.550000e-02 5.400000e-03
17 2.470000e-02 6.500000e-03
16 2.920000e-02 4.100000e-03
15 3.220000e-02 1.840000e-02
1000 2.000000e-04 2.081000e-01
100 3.700000e-03 1.348000e-01
65 5.100000e-03 1.161000e-01
50 7.500000e-03 7.100000e-03
40 1.110000e-02 1.218000e-01
30 1.610000e-02 2.890000e-02
26 1.680000e-02 5.440000e-02
23 2.030000e-02 7.500000e-03
20 2.150000e-02 3.500000e-03
