# k_step gamma S_color
18 2.325480e-02 1.319196e-15
17 2.473544e-02 -3.234775e-15
16 2.652092e-02 2.284052e-15
15 2.839350e-02 1.551966e-15
1000 2.612899e-04 3.108563e-01
100 3.353220e-03 2.080112e-01
65 5.704830e-03 1.806888e-01
50 7.011279e-03 1.658638e-01
40 9.188695e-03 1.522050e-01
30 1.289030e-02 1.153372e-01
26 1.515481e-02 8.947376e-02
23 1.815965e-02 3.117350e-02
20 2.085964e-02 8.970291e-14
18 2.325480e-02 1.311903e-15
17 2.473544e-02 -3.063031e-15
16 2.652092e-02 2.306230e-15
15 2.839350e-02 1.516270e-15
1000 2.612899e-04 2.899396e-01
100 3.353220e-03 2.400745e-01
65 5.704830e-03 2.008760e-01
50 7.011279e-03 1.602670e-01
40 9.188695e-03 1.588591e-01
30 1.289030e-02 1.165108e-01
26 1.515481e-02 8.208225e-02
23 1.815965e-02 3.174265e-02
20 2.085964e-02 8.631814e-14
18 2.325480e-02 1.383210e-15
17 2.473544e-02 -2.860366e-15
16 2.652092e-02 2.329004e-15
15 2.839350e-02 1.538212e-15
1000 2.612899e-04 2.693330e-01
100 3.353220e-03 2.249214e-01
65 5.704830e-03 1.998726e-01
50 7.011279e-03 1.812557e-01
40 9.188695e-03 1.471951e-01
30 1.289030e-02 1.126587e-01
26 1.515481e-02 8.712906e-02
23 1.815965e-02 3.342698e-02
20 2.085964e-02 8.828795e-14
18 2.325480e-02 1.344903e-15
17 2.473544e-02 -3.078612e-15
16 2.652092e-02 2.186302e-15
15 2.839350e-02 1.573871e-15
1000 2.612899e-04 2.885630e-01
100 3.353220e-03 2.219203e-01
65 5.704830e-03 1.684402e-01
50 7.011279e-03 1.683625e-01
40 9.188695e-03 1.473449e-01
30 1.289030e-02 1.081493e-01
26 1.515481e-02 8.342483e-02
23 1.815965e-02 3.248759e-02
20 2.085964e-02 9.183178e-14
18 2.325480e-02 1.270752e-15
17 2.473544e-02 -3.000668e-15
16 2.652092e-02 2.352897e-15
15 2.839350e-02 1.444186e-15
1000 2.612899e-04 2.557747e-01
100 3.353220e-03 2.199869e-01
65 5.704830e-03 2.134555e-01
50 7.011279e-03 1.888807e-01
40 9.188695e-03 1.485772e-01
30 1.289030e-02 1.101284e-01
26 1.515481e-02 7.576508e-02
23 1.815965e-02 3.264053e-02
20 2.085964e-02 9.426383e-14
18 2.325480e-02 1.254044e-15
17 2.473544e-02 -3.013710e-15
16 2.652092e-02 2.166623e-15
15 2.839350e-02 1.607356e-15
1000 2.612899e-04 3.053751e-01
100 3.353220e-03 2.169078e-01
65 5.704830e-03 1.937410e-01
50 7.011279e-03 1.785614e-01
40 9.188695e-03 1.572295e-01
30 1.289030e-02 1.194096e-01
26 1.515481e-02 7.930676e-02
23 1.815965e-02 3.310469e-02
20 2.085964e-02 8.956714e-14
18 2.325480e-02 1.275559e-15
17 2.473544e-02 -2.931173e-15
16 2.652092e-02 2.349401e-15
15 2.839350e-02 1.571082e-15
1000 2.612899e-04 2.790630e-01
100 3.353220e-03 1.929058e-01
65 5.704830e-03 1.923102e-01
50 7.011279e-03 1.640089e-01
40 9.188695e-03 1.541563e-01
30 1.289030e-02 1.098792e-01
26 1.515481e-02 8.412025e-02
23 1.815965e-02 3.286040e-02
20 2.085964e-02 9.547049e-14
18 2.325480e-02 1.306592e-15
17 2.473544e-02 -3.193003e-15
