# k_step gamma S_color
16 1.521706e-02 -5.944376e-16
15 1.659402e-02 -2.582475e-16
1000 6.765023e-05 1.209196e-01
100 1.357724e-03 1.041706e-01
65 2.385318e-03 1.021319e-01
50 3.364946e-03 9.276551e-02
40 4.512072e-03 7.673865e-02
30 6.594110e-03 6.489209e-02
26 7.968958e-03 5.004570e-02
23 9.376545e-03 3.727095e-02
20 1.129275e-02 1.109417e-02
18 1.299754e-02 -4.216733e-14
17 1.403005e-02 1.523402e-15
16 1.521706e-02 -5.701148e-16
15 1.659402e-02 -2.515807e-16
1000 6.765023e-05 1.215962e-01
100 1.357724e-03 1.009932e-01
65 2.385318e-03 9.781129e-02
50 3.364946e-03 8.708896e-02
40 4.512072e-03 8.216045e-02
30 6.594110e-03 6.635238e-02
26 7.968958e-03 5.353334e-02
23 9.376545e-03 3.748690e-02
20 1.129275e-02 1.101358e-02
18 1.299754e-02 -3.990360e-14
17 1.403005e-02 1.539854e-15
16 1.521706e-02 -5.587913e-16
15 1.659402e-02 -2.431808e-16
1000 6.765023e-05 1.332187e-01
100 1.357724e-03 1.063707e-01
65 2.385318e-03 9.732233e-02
50 3.364946e-03 9.215507e-02
40 4.512072e-03 8.687702e-02
30 6.594110e-03 6.907140e-02
26 7.968958e-03 5.418721e-02
23 9.376545e-03 3.945724e-02
20 1.129275e-02 1.137675e-02
18 1.299754e-02 -4.148108e-14
17 1.403005e-02 1.514020e-15
16 1.521706e-02 -5.759467e-16
15 1.659402e-02 -2.628517e-16
1000 6.765023e-05 1.215221e-01
100 1.357724e-03 1.067202e-01
65 2.385318e-03 9.771588e-02
50 3.364946e-03 9.130176e-02
40 4.512072e-03 8.082002e-02
30 6.594110e-03 6.297852e-02
26 7.968958e-03 5.301376e-02
23 9.376545e-03 3.691495e-02
20 1.129275e-02 1.081431e-02
18 1.299754e-02 -4.286402e-14
17 1.403005e-02 1.484388e-15
16 1.521706e-02 -5.905527e-16
15 1.659402e-02 -2.580813e-16
1000 6.765023e-05 1.205032e-01
100 1.357724e-03 1.070608e-01
65 2.385318e-03 9.780244e-02
50 3.364946e-03 9.243737e-02
40 4.512072e-03 8.268789e-02
30 6.594110e-03 6.284688e-02
26 7.968958e-03 5.507027e-02
23 9.376545e-03 3.745249e-02
20 1.129275e-02 1.137245e-02
18 1.299754e-02 -4.124588e-14
17 1.403005e-02 1.525346e-15
16 1.521706e-02 -5.532779e-16
15 1.659402e-02 -2.422559e-16
1000 6.765023e-05 1.205477e-01
100 1.357724e-03 1.000607e-01
65 2.385318e-03 9.793413e-02
50 3.364946e-03 9.063430e-02
40 4.512072e-03 8.347145e-02
30 6.594110e-03 6.760231e-02
26 7.968958e-03 5.104691e-02
23 9.376545e-03 3.693741e-02
20 1.129275e-02 1.138615e-02
18 1.299754e-02 -4.198742e-14
17 1.403005e-02 1.636985e-15
16 1.521706e-02 -5.476758e-16
15 1.659402e-02 -2.579408e-16
1000 6.765023e-05 1.281595e-01
100 1.357724e-03 1.079384e-01
65 2.385318e-03 1.007945e-01
50 3.364946e-03 9.215968e-02
40 4.512072e-03 8.154400e-02
30 6.594110e-03 6.673776e-02
26 7.968958e-03 5.377095e-02
23 9.376545e-03 3.722776e-02
20 1.129275e-02 1.089080e-02
18 1.299754e-02 -4.011100e-14
17 1.403005e-02 1.488253e-15
16 1.521706e-02 -5.796846e-16
15 1.659402e-02 -2.460132e-16
1000 6.765023e-05 1.206636e-01
100 1.357724e-03 1.001127e-01
65 2.385318e-03 1.047909e-01
50 3.364946e-03 8.505403e-02
40 4.512072e-03 8.111360e-02
30 6.594110e-03 6.760193e-02
26 7.968958e-03 5.111881e-02
23 9.376545e-03 3.801107e-02
