# k_av S_color
1.650000e+00 2.984920e-01
1.700000e+00 3.262437e-01
1.750000e+00 3.500777e-01
1.800000e+00 3.678393e-01
1.850000e+00 3.812631e-01
1.900000e+00 4.120281e-01
1.950000e+00 4.540228e-01
2.000000e+00 4.655531e-01
1.000000e+00 0.000000e+00
1.050000e+00 7.907786e-05
1.100000e+00 6.420440e-03
1.150000e+00 1.622376e-02
1.200000e+00 4.830962e-02
1.250000e+00 4.818353e-02
1.300000e+00 7.918094e-02
1.350000e+00 1.050517e-01
1.400000e+00 1.677524e-01
1.450000e+00 1.917134e-01
1.500000e+00 2.065874e-01
1.550000e+00 2.247540e-01
1.600000e+00 2.682927e-01
1.650000e+00 2.924079e-01
1.700000e+00 3.336752e-01
1.750000e+00 3.362460e-01
1.800000e+00 3.699965e-01
1.850000e+00 4.058923e-01
1.900000e+00 4.160407e-01
1.950000e+00 4.404843e-01
2.000000e+00 4.430684e-01
1.000000e+00 0.000000e+00
1.050000e+00 6.052826e-05
1.100000e+00 6.858827e-03
1.150000e+00 2.226479e-02
1.200000e+00 3.810117e-02
1.250000e+00 7.204330e-02
1.300000e+00 8.794095e-02
1.350000e+00 1.134932e-01
1.400000e+00 1.413599e-01
1.450000e+00 1.798546e-01
1.500000e+00 1.938542e-01
1.550000e+00 2.514214e-01
1.600000e+00 2.754133e-01
1.650000e+00 2.799015e-01
1.700000e+00 3.095039e-01
1.750000e+00 3.413403e-01
1.800000e+00 3.547438e-01
1.850000e+00 3.966341e-01
1.900000e+00 4.188873e-01
1.950000e+00 4.368713e-01
2.000000e+00 5.003520e-01
1.000000e+00 0.000000e+00
1.050000e+00 3.621114e-04
1.100000e+00 3.625769e-03
1.150000e+00 1.810855e-02
1.200000e+00 4.338295e-02
1.250000e+00 7.025932e-02
1.300000e+00 9.166693e-02
1.350000e+00 9.101012e-02
1.400000e+00 1.606260e-01
1.450000e+00 1.865132e-01
1.500000e+00 2.123564e-01
1.550000e+00 2.291403e-01
1.600000e+00 2.756934e-01
1.650000e+00 2.799958e-01
1.700000e+00 3.403006e-01
1.750000e+00 3.473653e-01
1.800000e+00 3.861418e-01
1.850000e+00 4.104088e-01
1.900000e+00 3.983975e-01
1.950000e+00 4.284933e-01
